name,address,rating,reviews,website,lat,lng,category,no_website
Restaurant Les Chauvins,"3 Rue du Faisan, 67000 Strasbourg, France",4.8,1190,https://www.restaurant-les-chauvins.fr/?utm_source=Google&utm_medium=My%20Business,48.5833917,7.7532083,"establishment, food, point_of_interest, restaurant",False
Restaurant Le Kuhn,"15 Rue Kuhn, 67000 Strasbourg, France",4.6,2645,http://www.lekuhn.com/,48.5848711,7.737640300000001,"establishment, food, point_of_interest, restaurant",False
Au Vieux Strasbourg,"5 Rue du Maroquin, 67000 Strasbourg, France",4.3,2887,http://vieuxstrasbourg.fr/,48.58054440000001,7.7507889,"establishment, food, point_of_interest, restaurant",False
Le Tire-Bouchon,"5 Rue des Tailleurs de Pierre, 67000 Strasbourg, France",4.3,5441,https://www.letirebouchon.fr/,48.58059309999999,7.7506662,"establishment, food, point_of_interest, restaurant",False
La Fignette,"5 Rue de la Vignette, 67000 Strasbourg, France",4.6,7454,https://lafignette.com/,48.5824612,7.7426774,"establishment, food, point_of_interest, restaurant",False
Le Chapitre - Strasbourg,"95 Rue de Bâle, 67100 Strasbourg, France",4.9,1718,https://restaurantlechapitre.fr/,48.56726690000001,7.765401000000001,"establishment, food, point_of_interest, restaurant",False
Le Banquet des Sophistes,"5 Rue d'Austerlitz, 67000 Strasbourg, France",4.8,2181,https://le-banquet.com/,48.5787779,7.7520478,"establishment, food, point_of_interest, restaurant",False
La Cuiller à Pot,"18b Rue Finkwiller, 67000 Strasbourg, France",4.8,840,http://www.lacuillerapot.fr/,48.5787291,7.7425071,"establishment, food, point_of_interest, restaurant",False
La Hache,"11 Rue de la Douane, 67000 Strasbourg, France",4.6,4516,https://www.la-hache.com/,48.5795016,7.749161200000001,"establishment, food, point_of_interest, restaurant",False
La Corde à Linge,"2 Pl. Benjamin Zix, 67000 Strasbourg, France",4.2,8860,https://www.lacordealinge.com/,48.58119749999999,7.7426199,"bar, establishment, food, point_of_interest, restaurant",False
L'Oignon,"4 Rue des Moulins, 67000 Strasbourg, France",4.7,2243,https://www.restaurantloignon.fr/,48.5814329,7.741426700000001,"establishment, food, point_of_interest, restaurant",False
Le Bistrot Des Cocottes,"5 Rue du Saumon, 67000 Strasbourg, France",4.6,1088,http://www.lebistrotdescocottes.fr/,48.582199,7.746632999999999,"establishment, food, point_of_interest, restaurant",False
Aux Armes de Strasbourg,"9 Pl. Gutenberg, 67000 Strasbourg, France",4.3,3339,http://auxarmesdestrasbourg.com/,48.58091570000001,7.7486527,"establishment, food, point_of_interest, restaurant",False
Restaurant Gurtlerhoft,"13 Pl. de la Cathédrale, 67000 Strasbourg, France",4.4,4569,http://www.gurtlerhoft.fr/,48.5818765,7.749532500000001,"establishment, food, point_of_interest, restaurant",False
La Petite Mairie - Restaurant traditionnel,"8 Rue Brûlée, 67000 Strasbourg, France",4.6,1466,,48.5845012,7.7513863,"establishment, food, point_of_interest, restaurant",True
Blue Flamingo,"Presqu'île André-Malraux, 67000 Strasbourg, France",4.8,1472,http://www.blue-flamingo.fr/,48.5741577,7.7594714,"bar, establishment, food, point_of_interest, restaurant",False
Les Chefs d’Oeuvre d'Alsace,"8 Grand'Rue, 67000 Strasbourg, France",4.6,1638,,48.58258439999999,7.739464799999999,"establishment, food, point_of_interest, restaurant",True
Le Schnockeloch Restaurant Alsacien Strasbourg - Tarte flambée Flammekueche,"2 Rue du Faubourg-National, 67000 Strasbourg, France",4.4,3379,https://www.schnockeloch.com/,48.5827489,7.7381137,"establishment, food, point_of_interest, restaurant",False
Restaurant Bar - Les Opportunistes - Strasbourg,"3 Rle de la Bruche, 67000 Strasbourg, France",4.9,483,https://lesopportunistes.fr/,48.5804048,7.7567872,"establishment, food, point_of_interest, restaurant",False
Chez l’Oncle Freddy,"9 Rue des Moulins, 67000 Strasbourg, France",4.4,2947,http://www.chezlonclefreddy.com/,48.5801835,7.7424875,"establishment, food, point_of_interest, restaurant",False
Le Bistrok Montpellier,"47 Rue de l'Aiguillerie, 34000 Montpellier, France",4.8,846,https://lebistrok.com/restaurant-montpellier/,43.61210150000001,3.8791063,"establishment, food, point_of_interest, restaurant",False
Les Fils À Maman Montpellier,"12 Rue du Petit Saint-Jean, 34000 Montpellier, France",4.5,4143,https://www.lesfilsamaman.com/restaurants/montpellier/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,43.60798870000001,3.8755395,"bar, establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",False
M&lice,"216 Rue Elie Wiesel, 34000 Montpellier, France",4.7,4534,https://melice.fr/,43.599685,3.901824,"bar, cafe, establishment, food, meal_takeaway, point_of_interest, restaurant, store",False
GOYA Montpellier Restaurant,"216 Rue Elie Wiesel, 34000 Montpellier, France",4.7,1382,http://goyarestaurant.com/,43.5992272,3.9014478,"establishment, food, point_of_interest, restaurant",False
